Instance,30,,,40,,,50,,,60,,,70,,,80,,,90,,
,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA
ea2468.cnf,3430239.4,3429238.6,3426924,3439488.1,3438835.3,3438003.1,3442859.4,3442349,3442157.6,3444267,3443977.5,3443932.4,3444866.2,3444714.1,3444690.2,3445112.5,3445015.5,3445027,3445209.9,3445176.7,3445164.3
eb40.cnf,2833682,2831898.3,2831138.5,2840993.4,2840118.2,2839466.3,2843608.7,2843192,2842919.9,2844673.4,2844448.3,2844284.8,2845078,2844932.8,2844923.7,2845229.2,2845160,2845169,2845277.1,2845248.2,2845244.8
eb40a.cnf,2838228.7,2836780.6,2835729.6,2845758.6,2844835,2844581.8,2848414.6,2847879.7,2847731.3,2849418,2849096.8,2849078.3,2849805.7,2849669.1,2849647.5,2849951,2849896.8,2849870.6,2850000.9,2849975.2,2849967.9
eb42.cnf,2805669.5,2804388,2803127.8,2812660.2,2811764.6,2811666.4,2815154.5,2814711.4,2814585.9,2816143,2815859.9,2815786.7,2816484,2816359.4,2816320.3,2816611.2,2816559.9,2816548.5,2816652.7,2816631.6,2816622.2
eb55.cnf,2960431.7,2959174.5,2957601.5,2968089.7,2967249.5,2966604.2,2970874.2,2970527.2,2970284.4,2971998.7,2971748.3,2971684.5,2972430,2972313.5,2972259.3,2972588.3,2972523.8,2972504.5,2972643.2,2972617.8,2972605.5
ebsa285.cnf,2913762.2,2911831,2910004.7,2922791.6,2921505.6,2920947.5,2926240.3,2925604,2925343.3,2927701.9,2927311.6,2927155.4,2928350.1,2928181.4,2928067.4,2928634.1,2928536.1,2928504.1,2928754.1,2928697.3,2928698.5
ec555.cnf,2980280.9,2978339.4,2977788.3,2987695.1,2986787.3,2986423.5,2990323.7,2989784.4,2989693.4,2991331.6,2991059.1,2991084.5,2991718.3,2991599,2991581,2991861.2,2991805.6,2991782.5,2991906.2,2991880,2991878.2
ecos-icse11.cnf,2897431.3,2895622,2893804.8,2905282,2904199.7,2903753.9,2908239.9,2907629.1,2907465.7,2909437.5,2909088.3,2909009.4,2909928.6,2909759.9,2909717.9,2910131.3,2910044.9,2910035.8,2910206.9,2910166.6,2910158.2
edb7xxx.cnf,2869845,2868323.3,2866922.4,2878041.1,2877361.6,2876637.7,2881071.6,2880547.7,2880384.1,2882309.6,2882021.7,2881900.8,2882817.8,2882652.7,2882630.2,2883020.5,2882949.6,2882938.6,2883103.4,2883068,2883052.9
edosk2674.cnf,2653221.2,2651332.5,2650453.3,2660502.6,2659746.8,2659358.5,2663122,2662662.1,2662369.7,2664220.6,2663958.2,2663872.9,2664648.2,2664509.4,2664473.6,2664825.2,2664763.4,2664734.8,2664890.3,2664852,2664861.7
excalibur_arm9.cnf,2796205.7,2794273.7,2792857.3,2805031.3,2803920.1,2803564.6,2808608.6,2808013.9,2807724.4,2810226.5,2809764.6,2809668.9,2810956.9,2810706.8,2810618.4,2811302.7,2811122,2811091.1,2811457.7,2811352.7,2811338
fads.cnf,2607107.5,2605858.1,2604647.7,2613424.9,2612746.9,2612490.5,2615599.1,2615226.1,2615026.4,2616426,2616234.8,2616140.7,2616739.3,2616648.3,2616617.3,2616843.6,2616808.4,2616789.7,2616875.3,2616859.3,2616853.6
flexanet.cnf,2978930.3,2977643.3,2976346,2987906,2986848.7,2986396.1,2991356.1,2990865.5,2990657.8,2992762.5,2992491.7,2992339.6,2993373.1,2993194.3,2993175,2993634.8,2993561.4,2993528.4,2993742.5,2993697.3,2993689.6
