120 instances t=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DivSampCA,,,,,,,Ls-Sampling-Plus,,,,,,,Baital,,,,,,,PLEDGE,,,,,,,,,
tx39_sim,2560932,2567649,2569824,2570686,2571010,2571135,2571183,2560467,2567235,2569643,2570611,2570986,2571120,2571176,2525561,2540229,2552858,2555148,2560310,2563566,2565391,2439832,2518204,2538793,2550672,2556525,2559307,2561597,,,
uE250,2879936,2888395,2891563,2892922,2893427,2893603,2893678,2880415,2888302,2891322,2892661,2893298,2893550,2893640,2838867,2860136,2868698,2872054,2880139,2883645,2886032,2818670,2843795,2859153,2865830,2871002,2873864,2876000,,,
vads,2882236,2890794,2894025,2895374,2895927,2896171,2896282,2881162,2890120,2893646,2895127,2895838,2896115,2896253,2834691,2861638,2875495,2880566,2883172,2885834,2889303,2795457,2838254,2854934,2871169,2875951,2878555,2881863,,,
viper,3167300,3176537,3179979,3181442,3182076,3182320,3182415,3166769,3176208,3179599,3181260,3181926,3182237,3182377,3088058,3140548,3157836,3166135,3171208,3174414,3176993,3046651,3122195,3146014,3157308,3163408,3166755,3169455,,,
vrc4373,2872165,2880009,2882697,2883878,2884346,2884541,2884598,2872408,2879951,2882904,2884001,2884399,2884535,2884594,2807100,2844946,2864619,2873253,2875633,2877489,2878432,2808997,2841950,2854332,2861598,2865658,2867982,2869147,,,
vrc4375,2954178,2963082,2966505,2967952,2968581,2968853,2968942,2954906,2963075,2966440,2967857,2968524,2968802,2968912,2922845,2942891,2951926,2956879,2959402,2962054,2963417,2856759,2908532,2928123,2942788,2947944,2953263,2955081,,,
XSEngine,2961602,2969808,2972714,2973928,2974480,2974703,2974794,2960452,2969139,2972469,2973831,2974403,2974676,2974782,2910255,2938929,2950820,2956376,2958537,2963210,2963674,2799413,2893598,2929012,2943847,2949789,2957586,2959543,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 instances t=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DivSampCA,,,,,,,Ls-Sampling-Plus,,,,,,,Baital,,,,,,,PLEDGE,,,,,,,,,
,30,40,50,60,70,80,90,30,40,50,60,70,80,90,30,40,50,60,70,80,90,30,40,50,60,70,80,90,,,
aaed2000,2289278944,2342324150,2372778414,2392240499,2402999040,2411901990,2421871948,2285616832,2341588471,2374657809,2392446908,2403632527,2411480939,2420751946,2210869841,2298374060,2343835235,2366559212,2384273759,2396097790,2410304179,2080324763,2193586457,2258028313,2305361409,2335901450,2350534890,2370746327,,,
adder,2265727011,2315300000,2343438244,2359706108,2371281434,2377228640,2384537885,2266598635,2315528516,2343129136,2358475854,2369296724,2374721962,2382067443,2179921209,2257488980,2288966633,2310813640,2333501893,2349349254,2367904937,2091154021,2195295726,2252219405,2282280683,2302674222,2318295650,2336669448,,,
adderII,2286329080,2338906701,2367676063,2383333342,2393367528,2400355266,2407691802,2281884529,2337884772,2367170637,2382694133,2392892676,2399595735,2407184497,2212885467,2279038563,2331997821,2356829925,2370055292,2380964926,2391844619,2127589847,2202812352,2253402220,2284617328,2308921105,2323141886,2342074558,,,
aeb,1920082558,1965029868,1986864387,1999646017,2007715843,2013098755,2019409755,1916372571,1963336134,1986064391,2001390117,2009071973,2014306986,2020363062,1829114403,1899981270,1944111959,1968216342,1983819166,1992764746,2007405085,1780156688,1865702943,1909393957,1937605809,1955849945,1966614387,1982949651,,,
aim711,2205020070,2256183740,2283107287,2299518513,2310015233,2316087711,2322832058,2201411828,2252717873,2280744338,2298780222,2308219881,2315354791,2323639202,2110683852,2174165323,2222218618,2250732322,2263537172,2275346036,2298635701,1860605813,2046272536,2150502389,2196536238,2226710462,2248724183,2270725724,,,
aki3068net,1918188946,1964097239,1985851233,1999778467,2008181679,2013384179,2020314897,1914881375,1963171569,1987084474,2001440713,2010507814,2015715348,2021794708,1789551959,1921482805,1949891855,1972476603,1989150205,2001811065,2013404373,1734433486,1836083221,1895633076,1927313910,1944184813,1956529772,1975082164,,,
am31_sim,1714283899,1751358432,1769070225,1779977248,1786535131,1790048561,1796456684,1711873960,1748436774,1765764323,1777214787,1783875261,1788048680,1794521068,1641471951,1700309838,1733376924,1757518164,1769000060,1778122093,1788852587,1603391355,1663527382,1698103377,1719465931,1735423228,1745520838,1756512087,,,
asb,2023089751,2066583438,2089561934,2103149937,2110708186,2116466841,2122224925,2015656263,2062288888,2088292170,2102389894,2109556541,2114552357,2120863243,1944963141,2017894702,2046136746,2068417236,2082321287,2092122815,2107451988,1899534156,1968162241,2011077633,2034612889,2052646047,2063314066,2075676092,,,
asb2305,2053841195,2098205047,2121957986,2136507522,2146009377,2151607160,2158298663,2054982822,2101679742,2124166247,2137147210,2147002891,2152131334,2158361065,1979216019,2051516750,2084782979,2111663835,2125925272,2135552809,2146681338,1841523316,1964700613,2030931172,2066509493,2088120344,2104606032,2123488726,,,
assabet,2162047032,2206987222,2234555024,2247214789,2257636552,2263052747,2269192671,2159080160,2208671877,2233191777,2247415071,2257615912,2263571132,2270942933,2069202832,2138269509,2180936563,2203883469,2218548694,2233354275,2251565542,2011871127,2091971685,2143276589,2172967110,2191336239,2205028690,2221006770,,,
at91sam7sek,2308147060,2359004538,2385936633,2402339487,2411840106,2418367561,2425251624,2304439579,2356908297,2380958108,2398910224,2409751613,2416991072,2425158662,2228766505,2296393513,2336607127,2365674696,2380811833,2395295671,2414490118,2171974878,2254169270,2301300168,2329840050,2347480981,2362943902,2380889314,,,
at91sam7xek,2471286607,2527613028,2556537081,2575049452,2586635091,2593349455,2601160879,2463750243,2523303526,2555778846,2574136772,2585679522,2592971939,2601253707,2397643800,2469341944,2517114219,2545791210,2562273049,2571426476,2588589271,2292758745,2386474087,2443071044,2481196547,2503266228,2520433026,2539435489,,,
atlas_mips32_4kc,1962880833,2006799485,2031476025,2044561906,2053422552,2059458759,2066262279,1960910652,2007294041,2031483803,2046411498,2054448901,2060723242,2066582143,1887655949,1957893993,1989577903,2012797995,2026382701,2040447120,2051426074,1815864027,1905556513,1951730102,1979134142,1997699094,2010046773,2028504484,,,
atlas_mips64_5kc,1924092201,1969785885,1994360704,2008724867,2017047535,2022437250,2029040140,1923628664,1968811944,1991893952,2006745096,2015014062,2020714051,2027663893,1830746126,1890207858,1938192912,1958895767,1971202596,1980345485,2007383624,1790879396,1865065414,1907205414,1934847613,1955228683,1969046200,1985620027,,,
brutus,1957760002,2001817318,2023567040,2036369760,2043427079,2048635945,2055450306,1962226514,2001989036,2023850670,2037070065,2044427714,2049403009,2055321139,1891138477,1954828460,1990796196,2006093358,2019245581,2030287024,2045067941,1793280953,1886693596,1938244516,1969287385,1986397098,2001548630,2019308754,,,
buildroot,224656602,227415771,227988555,228156341,228192024,228200113,228202776,224705966,227105691,227857251,228110369,228179665,228197183,228203163,222321623,226908528,227872605,228098595,228165844,228180006,228184794,223415415,226654206,227743022,228050586,228143015,228167605,228176456,,,
busybox_1_28_0,1264501691,1282976715,1289495047,1292132961,1293444102,1294193653,1294881640,1264997421,1282128040,1289395753,1292365931,1293601337,1294234649,1294880915,1246268377,1269973388,1280187673,1285896145,1288483405,1290211643,1292080553,1222165420,1253409209,1268356520,1276241172,1280609741,1282983333,1285580149,,,
calm16_ceb,1744968110,1783207838,1802632494,1813621226,1822265685,1826946579,1832571465,1745071731,1782694981,1804565877,1815565684,1823392130,1827298949,1832611991,1686522459,1738103868,1770471728,1788636091,1802643478,1814441237,1823721639,1540379112,1668198228,1718363258,1749945778,1774023747,1786813207,1803194166,,,
calm32_ceb,1745065565,1781783268,1802557489,1814335714,1822430962,1827016295,1832873463,1741923539,1779600056,1801252779,1813614074,1822472415,1826668765,1833057455,1683448582,1744871123,1771833160,1789404555,1802478179,1813893703,1823135840,1461340586,1621545698,1697704366,1736284592,1759818879,1775652882,1796457051,,,
ceb_v850,1829987598,1869011058,1888997294,1900741322,1908304004,1913042166,1919356566,1824311763,1864115426,1886267246,1899689961,1908596891,1913858258,1919714928,1766669371,1826077962,1857115863,1874290141,1886222634,1895391883,1909084128,1709501404,1777714949,1820644294,1843203922,1858445753,1867776919,1879211460,,,
cerf,2247631483,2294678988,2323609141,2339375864,2348850843,2355436476,2363180814,2238678411,2295701816,2322571020,2338115181,2348993580,2356393787,2364442836,2141778315,2224496314,2276949084,2301282220,2319412413,2330720760,2346476344,2029564716,2146253068,2212746508,2251259510,2276878652,2293891984,2317039761,,,
cerfpda,2325055592,2376758373,2406501875,2424306963,2435460160,2442817170,2449850719,2322036914,2377663947,2409213738,2426026869,2435379095,2442435799,2450398804,2180315925,2282054548,2348351286,2380296003,2396861002,2411945445,2431677644,2114658413,2230961866,2295974417,2338254764,2364112654,2381196101,2401394233,,,
cma230,1918868116,1961979762,1984503502,1996894537,2005035056,2010118326,2015754373,1916185432,1961505711,1984443457,1997864567,2005443435,2010862865,2016187846,1832818091,1903410748,1939848020,1963581856,1979330470,1987868101,1998039738,1757624853,1839201729,1891860618,1920627187,1941917516,1955454544,1973711333,,,
cma28x,1895201634,1935021550,1958098808,1971149876,1978816399,1982933998,1988530743,1891123533,1934634645,1956200656,1970663206,1978741481,1983425413,1989118967,1820352903,1893284159,1922006573,1942387670,1957994371,1966002759,1981027084,1675578742,1808925525,1868497939,1906114159,1928143211,1941283848,1955966848,,,
cme555,2214716809,2260364316,2284656524,2298748897,2307872984,2313807885,2321745316,2206837605,2254921264,2280700715,2298937551,2309353550,2314965312,2322174182,2107140596,2182299508,2232309000,2261088156,2281229069,2293381467,2309786598,2013248775,2132648662,2186424534,2217738755,2245647609,2261845668,2277139657,,,
cq7708,2035471790,2078587133,2105480551,2120523944,2131417060,2137490786,2144821253,2031460948,2076771073,2103792076,2117786349,2129197013,2136607573,2143682948,1965518906,2022777499,2053104690,2074097796,2089141163,2098625885,2121134551,1859808142,1959105241,2011667853,2043705525,2061268585,2076548282,2095626917,,,
cq7750,2161638690,2212577807,2238410246,2252619048,2261947714,2267194208,2274609376,2162777141,2212193840,2235286333,2250377535,2261863727,2267561142,2274891364,2092787735,2163798394,2198247592,2224433647,2239149267,2247445620,2261723035,2030413870,2102713476,2140866869,2167090911,2180838100,2190429242,2203387481,,,
csb281,2069665227,2120572340,2144697329,2160213783,2170329142,2176349550,2184054035,2073301178,2121972169,2147874220,2161966180,2173215423,2180129892,2187633551,1990350505,2054085765,2097426768,2114419207,2133953574,2153461168,2171362811,1891776146,1997757301,2052000019,2081377023,2102504907,2122608026,2140157389,,,
dreamcast,2113041387,2162668072,2188570456,2204536873,2214716192,2221169593,2227931575,2114062845,2162871442,2189225257,2205204929,2215228453,2222337026,2228921011,2027971509,2106790170,2147829781,2176251902,2191975628,2200054022,2215049274,1970078351,2058837307,2100605414,2124675412,2143480084,2155821002,2170992715,,,
e7t,2214127686,2268419042,2294798106,2311108819,2321365855,2328117738,2334626713,2206470968,2264334055,2293430981,2311171271,2321988743,2328217958,2334897191,2112204608,2205596728,2237797428,2267359805,2290738077,2306108831,2320411376,2061656225,2149935996,2201027222,2229782654,2252252715,2266354899,2283194780,,,
ea2468,2756746408,2811887714,2843551307,2861180753,2871478789,2877968493,2886072764,2747347403,2809982523,2839465168,2858939754,2870195658,2878856874,2886100476,2626861464,2723744725,2781039753,2817832581,2840908465,2850816216,2866295526,2574395191,2679485801,2738362021,2775796711,2800736026,2815870663,2836513797,,,
eb40,2055209505,2100795072,2124850766,2138363782,2146419489,2152451971,2158602668,2050744655,2097969233,2123753798,2138652971,2147402178,2152652751,2159117126,1980807378,2046334734,2088276079,2109791082,2124142922,2135720815,2149127312,1881820937,1968047374,2031308407,2059889791,2084856563,2097317053,2116604049,,,
eb40a,2058627131,2104256739,2130573585,2145881168,2152767743,2159151827,2166469415,2057904957,2102418626,2129560269,2142990223,2151118956,2156607602,2163929815,1971110405,2047181961,2086371135,2116838180,2134113876,2143005537,2153700457,1871644329,1971436949,2028235194,2064510280,2085397010,2102733797,2116734259,,,
eb42,2028686275,2071393345,2094544192,2107688311,2117028344,2120980888,2127233574,2019386892,2065253229,2090324609,2105843029,2114315676,2120014520,2126533976,1962424981,2021751369,2062496735,2084390492,2096915767,2105430289,2117753794,1844037818,1946873540,2000033555,2029560109,2050020770,2066251099,2081564847,,,
eb55,2192844940,2243601529,2269132399,2285865546,2295347365,2301219471,2308416864,2195604246,2241730609,2269287275,2285290480,2295099013,2301371660,2308032459,2125411274,2187900363,2223944822,2252141181,2271687833,2279930878,2293326484,2028040014,2118574270,2173932530,2207958619,2229460351,2244266253,2261946382,,,
ebsa285,2129644952,2182741323,2210791671,2226949438,2236873607,2243237162,2249830953,2132801240,2183488663,2210594219,2226084599,2236139208,2242158252,2249159457,2044928875,2120396587,2155828619,2182363998,2201388270,2223623707,2238199245,1957005785,2055944229,2115284158,2147665676,2171508958,2187217630,2204322518,,,
ec555,2213904019,2265148715,2292760746,2307967289,2317193652,2323212363,2330157566,2216479341,2264758888,2291353071,2305686933,2315022595,2320574358,2327288096,2142386879,2214573295,2254732338,2280888444,2295961436,2306173513,2317370801,2040199267,2138339223,2197456177,2229438918,2250837498,2263445212,2278379935,,,
ecos-icse11,2119871100,2170431827,2194812033,2209463867,2218939133,2224486891,2232176260,2113264685,2163769180,2193135023,2209377353,2219502708,2226012332,2232848473,2050055830,2124858913,2156315487,2173790979,2189570952,2198813300,2213536237,1977027099,2069457771,2115376525,2143237514,2161753182,2176829076,2194758331,,,
edb7xxx,2092060685,2140874879,2164881637,2179445817,2187489847,2192754443,2199693352,2082906512,2133165456,2158490336,2174810072,2185353771,2191763008,2198573045,2019710380,2087020733,2118494846,2141279265,2159948354,2173727008,2187846369,1906585504,2006692434,2064774227,2095441551,2123473810,2135321586,2152039999,,,
edosk2674,1856753889,1897479879,1921059134,1933514871,1941749528,1946755572,1953459826,1854776372,1897141801,1919581268,1933078594,1941139308,1946793747,1952859838,1794649910,1851027233,1889722949,1908607955,1922850673,1931155175,1943202919,1680390737,1783470506,1830911210,1862909142,1882371595,1899997148,1913783054,,,
excalibur_arm9,2007172012,2053599351,2078447208,2092523145,2102834257,2109300025,2117959344,2004135263,2051921518,2078330032,2093984470,2103774751,2110446320,2117170257,1940474601,2001861323,2045210776,2074000281,2084890222,2094167818,2104634428,1803678306,1914697930,1983141504,2014452976,2037264285,2053872146,2072905083,,,
fads,1811794812,1853220920,1874025729,1885148426,1892505450,1896646141,1903834227,1808034929,1850083578,1872136348,1885449465,1892612426,1896715530,1903243378,1754724708,1804884355,1846281259,1862899944,1874510190,1884072068,1895324502,1622752361,1730822378,1781634784,1815941086,1838543075,1851705131,1869305826,,,
flexanet,2207063915,2261684760,2287344919,2303913560,2314610465,2320946657,2327352377,2204538444,2258199266,2286690432,2301778225,2312816441,2319663114,2327518692,2141498657,2206605736,2244944425,2276241873,2294073636,2304579718,2316456663,1971922052,2110538589,2175337972,2212585661,2240352468,2255161722,2274162112,,,
freebsd-icse11,3268957548,3335986719,3367964161,3384663964,3395280205,3402255226,3406324396,3265966594,3332500446,3366340707,3384234319,3394381782,3401657699,3406331685,3171301461,3266408482,3304355072,3336205749,3355174451,3368009647,3377222420,3089618492,3185486072,3242829524,3272650556,3297285099,3315032567,3326415610,,,
frv400,2079190152,2132175524,2158090629,2172590151,2182565088,2187510354,2195006786,2080425849,2129185173,2154586149,2170558417,2181108906,2187515208,2194818992,2023761698,2084452100,2119057113,2143257815,2155660560,2170106800,2182790068,1826934015,1984487365,2052241794,2093780859,2118101266,2134267609,2151566171,,,
gps4020,1917707087,1960624023,1982380752,1995846719,2004526238,2008429184,2015256414,1914985119,1957649691,1982677634,1995656111,2003883001,2009285955,2015005646,1849785178,1908978571,1935203603,1961214834,1978533770,1987648241,2001187876,1782021365,1854372661,1895906731,1924991021,1942005911,1954300814,1968387330,,,
grg,2080900768,2130728228,2156678263,2169806262,2179513573,2185423431,2192391931,2081265060,2129138031,2156677378,2171545803,2180094294,2186053892,2192625356,2018088417,2085838219,2121915829,2145576331,2160251075,2170499764,2183202742,1804856580,1968929231,2042849494,2082352584,2106512456,2123100950,2138761632,,,
h8300h_sim,1777890188,1815764807,1836592534,1848179359,1854345927,1859138052,1864330527,1773006133,1813095242,1833787567,1845704962,1852972412,1857482508,1863061437,1728283887,1771202987,1795072204,1819050165,1831041521,1839736676,1850604012,1553399868,1685717562,1745088636,1779880119,1803445000,1817566082,1833885433,,,
h8max,1898281221,1940821023,1962248642,1974743662,1982395829,1987522579,1993257174,1891987522,1935102000,1958303121,1973270539,1982051641,1987924593,1993931871,1825832426,1896033914,1928995234,1946796978,1962256258,1974190195,1985531977,1728355942,1814047510,1873161242,1903780118,1922704869,1933961258,1949064992,,,
h8s_sim,1780097703,1820081461,1839891155,1851252057,1858303494,1862892345,1869319375,1779660395,1819329297,1839275259,1852261842,1859105774,1863326869,1868429430,1721884711,1765904867,1805056898,1828118920,1842060744,1849381272,1860687856,1664632104,1726664983,1769059151,1797398462,1813675045,1823023928,1836936162,,,
hs7729pci,2372765782,2429067434,2457545709,2476899612,2489636008,2497127509,2508730386,2361012725,2425318362,2456249247,2474932505,2488729654,2497459474,2508329621,2269412288,2351594765,2418381811,2444650148,2463422776,2474254098,2491336050,2190046789,2306202375,2363784021,2404821944,2425698650,2442557657,2462015838,,,
innovator,2147964049,2202918636,2230861267,2247257371,2258712265,2266356872,2274106951,2149823493,2201848149,2228186656,2245678388,2256003874,2265376065,2275037915,2034453008,2126915364,2163728485,2200527480,2226465368,2238921379,2258098802,1931819325,2065686610,2125918906,2165251853,2188087022,2205543265,2226391936,,,
integrator_arm7,2167798124,2221156050,2247956900,2263543973,2273139997,2279713293,2286600598,2169015823,2220659021,2246833370,2261945315,2272695450,2279044378,2285769417,2091108242,2157149871,2202156886,2231686223,2246811026,2255522569,2272933996,1965196838,2088456361,2150470715,2186765339,2208691169,2224911058,2243372530,,,
integrator_arm9,2210712004,2260817479,2287666059,2305039657,2315628673,2323632942,2332205278,2206672367,2258325238,2287627560,2305013376,2316264297,2325234077,2333635247,2121935776,2187448066,2236703427,2268344962,2289302158,2301436985,2320288786,2027714460,2132458185,2187264301,2222103820,2243676573,2259259619,2278227377,,,
ipaq,2109783978,2156674646,2183448627,2198608199,2207429762,2212995214,2220071182,2110577213,2155406794,2183751631,2197082428,2208311906,2213530180,2219749977,2033296680,2114524640,2155463579,2177280121,2190231183,2197806070,2209814713,1831848617,1991585563,2063914561,2103937768,2133876184,2151240615,2171779744,,,
iq80310,2181629723,2230362255,2255449345,2270140647,2280645248,2286602601,2293667587,2174485699,2227217484,2255231462,2271204951,2279473577,2286115505,2294038819,2085480219,2166359219,2209095081,2235149659,2254052639,2266957059,2281616031,1974458484,2092234551,2153735393,2191177910,2221177981,2237937265,2257843640,,,
iq80321,2165987117,2219110179,2243489127,2258485510,2267747196,2274753940,2282199625,2163017976,2216168793,2242092046,2257411744,2267624579,2273617785,2280763402,2082824360,2155237934,2192217564,2223991960,2238967095,2252728698,2268259280,2021845984,2114045123,2164077441,2193846613,2211460685,2223809122,2239021812,,,
ixdp425,2112438386,2165286504,2189521552,2202550685,2212740497,2218567010,2224950021,2111782485,2160711723,2187602174,2202636539,2211928955,2218640611,2225394088,2016582552,2087324501,2149137982,2178334571,2192419078,2199667390,2211979136,1949664865,2052663632,2103739610,2137261358,2155383516,2173563551,2190244602,,,
jmr3904,1856832148,1899439566,1924526775,1936637441,1944111105,1949608236,1955145537,1852757946,1895160024,1921133368,1935421518,1943469245,1949625718,1955611652,1796310595,1851748712,1878875901,1894003369,1907170087,1920677623,1939670136,1726996080,1802528166,1842740826,1870421190,1890159589,1902168170,1915562515,,,
jtst,2056537944,2102335209,2129628214,2144411857,2153022336,2158598446,2165171619,2056866690,2102227125,2129818124,2143984122,2153599619,2159060801,2165471093,1994117895,2063450122,2092359172,2114047561,2132927668,2142510812,2154840948,1900080390,1998671545,2048445407,2078091548,2094609460,2108545471,2125444748,,,
linux,1992935172,2040130183,2064623366,2079105058,2088195625,2094264947,2101233711,1985898906,2036662500,2062042595,2077882999,2087615000,2093331900,2101925862,1889427513,1961119621,2003647000,2040191129,2056472156,2070386964,2084325340,1828862252,1917746402,1969369369,2005278346,2025747896,2039520804,2059595639,,,
lpcmt,2095536513,2144913964,2170710242,2185600123,2194941625,2201381370,2208364536,2099110715,2142902060,2171634159,2186741176,2196622423,2202230844,2208131342,2034432722,2089712918,2121771549,2156058153,2171594973,2182118097,2198665757,1860325687,2003892250,2070550735,2106370857,2128110722,2142374222,2157156059,,,
m5272c3,2531643665,2587619488,2620356616,2637546877,2649254910,2657144353,2664821793,2527232468,2587033966,2619526719,2636926352,2648599914,2656518194,2663898999,2438625910,2523198477,2571327581,2600731853,2618751559,2629543195,2644604973,2270586471,2423783913,2496796906,2539799405,2566932973,2587575760,2608472292,,,
mac7100evb,2030262614,2074337487,2098340365,2112018679,2119531218,2123308657,2130090067,2023522231,2070183855,2093069166,2107987763,2117924911,2123949819,2130274176,1970479700,2033983593,2062727469,2086538124,2100048748,2107355823,2117980622,1808796076,1943076487,2009195431,2041740632,2064311673,2078274328,2094561345,,,
mace1,2030236294,2073299630,2096208625,2109096451,2116319633,2121545243,2128801670,2022969854,2071067861,2094075186,2108485525,2116608351,2122628199,2128312668,1955347868,2025649312,2058876979,2081851279,2096376566,2104498495,2116214500,1765426867,1921697490,1992622337,2028019231,2050843364,2069457011,2085601856,,,
malta_mips32_4kc,2035051575,2080585949,2106820251,2122228193,2132388784,2138806055,2145085770,2036657858,2085992565,2109206125,2123565093,2133271334,2139271115,2146151301,1891605526,2027676784,2066396020,2090029507,2110066876,2121723818,2135986788,1830312974,1946975939,2000344846,2036639673,2059954289,2078740307,2097418644,,,
malta_mips64_5kc,2036799751,2084915400,2108912485,2124660846,2132664952,2138548840,2144937872,2036153886,2083293773,2109951056,2124655749,2134832091,2140336113,2146532056,1958342108,2025949372,2060377284,2090757455,2107184995,2117818745,2132531283,1855093352,1949722545,2003278836,2041162323,2066701537,2085554577,2105998719,,,
mb93091,2139566362,2186424824,2215776701,2231113114,2240750879,2246088283,2252580329,2134826262,2187587805,2213344363,2229145607,2239272649,2246579476,2254189410,2054905721,2130283136,2175718326,2197589845,2213259972,2225239574,2241741993,1991464036,2074687343,2122602539,2154843906,2172756935,2185471117,2200429587,,,
mb93093,2041165149,2088864919,2115051908,2130021742,2138339363,2144755007,2151302739,2040817771,2087763654,2115554801,2129971338,2139372668,2145292380,2152594757,1958875316,2043863375,2083731896,2107966724,2122206798,2134056711,2144960181,1890029239,1982590529,2032824140,2060565094,2078552091,2090118723,2103393953,,,
mbx,2391648400,2447681287,2475417297,2492779688,2503097669,2509805930,2517940602,2384301620,2439422931,2472500494,2491004839,2502636546,2509819083,2518077602,2293110492,2390187607,2431741254,2454679151,2471399708,2484306333,2503645467,2131010821,2287713453,2360886910,2400308439,2429228725,2447615441,2469617640,,,
mcb2100,2105323232,2149037824,2172273593,2187351833,2195210691,2200899307,2207881651,2097720081,2143320917,2168505265,2183148910,2193294841,2199447626,2206615109,2014456502,2095602569,2129959412,2155798028,2174651606,2183988992,2197309236,1834392164,1972624314,2051577831,2101261226,2127964051,2144883117,2162855500,,,
moab,2292264340,2341763050,2367200444,2384009412,2393227102,2399628225,2406663034,2280063396,2334491565,2364358556,2381257474,2392402914,2399337392,2408085018,2219293319,2285892775,2326117016,2354479448,2366937708,2378246936,2390335688,1992285813,2156453705,2240935557,2286641135,2316042899,2339069087,2361644968,,,
mpc50,1925958830,1965975545,1987940721,1999990446,2007307750,2011954666,2017918768,1922087570,1964517191,1987394853,2000120589,2007468963,2012573310,2018797027,1837801086,1911654989,1944574170,1965913687,1979806338,1993556679,2005685127,1797450925,1871084300,1918782836,1946817884,1965597516,1975581789,1987984804,,,
nano,2223637511,2280409027,2309097749,2327027034,2337644324,2344078019,2351271835,2222890875,2278175204,2307955647,2324707239,2335900560,2343318319,2350754812,2139642804,2222820648,2263668882,2290087808,2310110052,2321134759,2335542351,1979364894,2124986966,2201283478,2242779465,2265690540,2283698176,2303628042,,,
npwr,2180262403,2231884711,2259446758,2274209142,2283745383,2289309032,2296203428,2173558288,2227822665,2253671809,2270960126,2280346921,2287208640,2294159960,2084323963,2182262668,2222960101,2246325733,2258958756,2270813913,2283578294,1995534662,2105084680,2161880478,2199018302,2219290480,2234366889,2252793616,,,
ocelot,2200455418,2252912328,2280153643,2297889845,2308149408,2314128188,2321523868,2203658255,2255096527,2281587562,2297837653,2308143110,2313309364,2320092622,2122233356,2193262592,2237265676,2256933203,2275663590,2287321982,2301880997,1964832256,2109975554,2173629294,2213662273,2241242856,2259886545,2281006102,,,
olpce2294,2258390249,2309476949,2338540137,2355212444,2365826721,2372359571,2379634515,2255432452,2309226951,2338127650,2354616849,2364856138,2371845935,2379542902,2171223708,2243035770,2295018330,2321555768,2338902363,2350346114,2367382778,2102497645,2197481603,2244306057,2274810861,2301345345,2317369575,2334527099,,,
olpch2294,2167094000,2213814003,2240152998,2253930660,2262352879,2269278918,2275680527,2161492414,2211970334,2236635671,2251851316,2261494074,2267867481,2274226238,2075245500,2144899801,2183720295,2210227187,2233939979,2247092728,2262179194,1935238408,2076393755,2130019996,2165961413,2188009376,2206259392,2224219441,,,
olpcl2294,2248184806,2303422532,2334268394,2351736173,2362389486,2368023418,2375333988,2248451172,2301840057,2330033518,2348783527,2358347771,2365681415,2373853812,2150589036,2234792951,2278338324,2311229667,2328700757,2341672676,2359416567,2064206226,2172546247,2232770144,2266238133,2288220917,2302360519,2321369310,,,
p2106,2106152075,2150075863,2174026485,2187485821,2196213316,2201131296,2207416137,2100380392,2147350995,2174104047,2187747380,2195860631,2202235156,2209255729,2043558254,2105008579,2134987416,2161770180,2174711118,2184295858,2197091953,1952174978,2035515658,2087598660,2119415863,2139799942,2153176965,2170902770,,,
pati,2119205358,2164435890,2187968347,2202782380,2211400284,2216766993,2223999655,2115291570,2161514158,2187169327,2201560934,2210064477,2215129542,2222405416,2053076667,2117153753,2152595544,2175276063,2189516099,2195884232,2207852911,1909901454,2030534380,2090203992,2123557603,2148935880,2164886856,2184618805,,,
pc_i82544,2188544869,2241055964,2268421106,2282680126,2294382419,2300790619,2308420940,2185554912,2239153811,2268364572,2283525725,2295249949,2302204578,2309784598,2115299716,2192131584,2229327146,2253254234,2272414927,2282275746,2298353823,2017469160,2111273687,2171639999,2207125279,2229715873,2245230725,2262511336,,,
pc_i82559,2191483118,2241376177,2269916985,2286203717,2296272156,2302324652,2310506092,2187326105,2239293380,2267480030,2285259970,2296531618,2303760497,2310880840,2106821858,2191955919,2234385307,2256357909,2267175904,2278400278,2293185207,2040280051,2125887172,2175188302,2203576004,2227072142,2243370872,2259573788,,,
pc_rltk8139,2209222935,2259356358,2285818613,2303572867,2312966175,2320207458,2328859803,2204654409,2257445834,2286810343,2305746330,2315561151,2323473975,2331039091,2118205588,2200317411,2233040086,2271737319,2292894255,2305742404,2320986569,2044570737,2128254328,2185962945,2223678484,2245651458,2262910353,2280654804,,,
pc_usb_d12,2289594990,2341248952,2368941025,2383624980,2393003659,2399585037,2406838037,2283388399,2336047889,2364945051,2381513843,2391639541,2398285173,2405753811,2219809560,2297047335,2328454810,2353612647,2370778364,2382995278,2395374972,2115298695,2213965231,2273837012,2310282063,2329495513,2346615487,2363408406,,,
pc_vmWare,2176577913,2224589894,2252658533,2267292527,2277805371,2284131541,2290471962,2169376137,2222341149,2252120366,2267360553,2276738492,2283058882,2290595759,2082473715,2158652119,2206407269,2229490691,2245673003,2256716839,2271887124,1977515330,2089745090,2148124919,2188085627,2209622244,2226412132,2248818839,,,
