,"λ = 100, η = 50",,"λ = 100, η = 100",,"λ = 100, η = 150",,"λ = 100, η = 200",,"λ = 150, η = 50",,"λ = 150, η = 100",,"λ = 150, η = 150",,"λ = 150, η = 200",,"λ = 200, η = 50",,"λ = 200, η = 100",,"λ = 200, η = 150",,"λ = 200, η = 200",,"λ = 250, η = 50",,"λ = 250, η = 100",,"λ = 250, η = 150",,"λ = 250, η = 200",
Instance,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
mac7100evb,59.667,62.865,62.667,6.43,69,2.162,68,2.306,61.667,74.499,62.333,5.598,70,2.733,69,2.608,61.667,61.648,63,6.944,68.333,3.014,67.333,3.039,60.667,61.248,62.333,8.026,68.333,3.406,68,3.351
mace1,63,69.961,62.333,8.136,69,2.191,69.333,2.217,63,62.223,63.667,5.895,69,2.648,67.667,2.444,60.333,61.644,63,6.173,67.667,2.898,67.333,2.964,60.667,58.379,62.333,7.927,66.667,3.39,67.667,3.347
malta_mips32_4kc,65,81.228,66.333,10.96,74,2.452,72.333,2.64,66,50.944,67.333,6.661,72.333,2.894,71,2.937,66.667,81.611,67.667,8.262,71.667,3.563,73.333,3.458,67.667,61.729,68.333,7.523,73,3.879,73.667,3.977
malta_mips64_5kc,67.333,75.472,67,5.993,73.333,2.593,73.667,2.636,67,99.172,66.667,9.415,71.667,3.085,73,3.101,65.667,51.949,67.333,9.802,75,3.275,72.667,3.414,66,77.914,68.333,8.244,71,4.002,74.667,3.856
mb93091,67,82.747,67,7.627,72,2.265,74,2.626,66,96.653,67.333,6.074,72,3.01,73.667,3.027,65.333,75.412,67.667,6.476,70.667,3.531,73,3.374,64,69.263,69.667,8.113,72,3.944,74,3.859
mb93093,67.333,49.975,67.667,5.784,73.333,2.5,73.667,2.658,65.667,67.096,68.667,5.741,69.333,3.168,72.333,2.919,64.667,66.197,66.667,7.279,71,3.355,73.667,3.618,65,73.568,68.333,6.994,72,3.937,72.667,3.865
mbx,67.667,62.267,68.667,7.598,73,2.587,74.667,2.755,64.333,58.595,67.667,8.209,72.667,3.364,74,3.001,66.333,85.305,68.333,9.487,73.333,3.69,73.333,3.645,65.667,92.162,66,7.354,72.333,4.027,73.333,3.977
mcb2100,61.667,62.252,62,7.773,70,2.212,69,2.306,61,48.988,64.667,5.774,66.667,2.705,69,2.65,61.333,52.173,65.333,6.637,70.333,3.228,68.667,3.176,63.333,66.186,62.333,6.994,68.667,3.586,68.667,3.542
moab,69,41.75,68.667,9.678,76,2.853,76.667,2.84,70,120.605,70,7.821,76.333,3.077,76.667,3.318,68.667,60,70,8.04,75.667,3.668,73.333,3.76,69.333,78.01,70.667,9.581,74.333,4.109,74.667,4.143
mpc50,61.667,61.223,62,7.079,68.667,1.984,67,2.258,61.333,54.663,63,5.987,66.667,2.679,69,2.777,60,45.983,62.333,6.52,66.667,3.051,68,3.052,61.333,61.071,63.667,6.22,67.333,3.37,67.333,3.263
nano,68,82.501,71,6.529,76.667,2.918,77.333,2.968,69.333,33.843,71.667,12.355,80,3.1,79.333,3.455,70,88.98,72,8.529,77.333,3.758,78.667,3.744,69.667,97.053,72.333,7.886,79.333,4.134,76.333,4.156
npwr,64.667,61.791,68.333,7.802,74.667,2.443,73,2.561,63.667,58.933,66.333,8.847,72,3.117,74.667,3.109,64.333,58.017,66.333,8.24,71.667,3.32,73,3.435,66,84.801,67,10.791,72.667,3.811,72,3.714
ocelot,66.333,58.945,66.667,7.053,72.667,2.726,74.333,2.744,65.333,58.789,66.333,9.627,74,3.254,73.333,3.129,66.333,103.322,67.667,8.509,72,3.611,73,3.596,65.667,47.028,66.333,10.702,71.333,4.258,74.333,4.177
olpce2294,67,62.013,69.333,8.168,75,2.608,75,2.688,65.667,73.824,67.333,7.056,73.333,3.021,75.667,3.054,66.667,55.773,65.333,10.342,72.333,3.478,74.667,3.546,67.333,76.764,67.667,8.137,74,3.992,74.667,4.009
olpch2294,61.333,45.687,64.333,6.137,70.667,2.263,69.333,2.271,61.667,61.418,64.333,7.693,69.667,2.739,68.333,2.779,60.667,86.877,64.333,7.357,68,3.115,67.333,3.216,59.667,79.284,63,10.205,67.333,3.433,67.667,3.59
