 ,λ = 100 η = 100,, λ = 100 η = 150,, λ = 100 η = 200,, λ = 100 η = 250,, λ = 150 η = 100,, λ = 150 η = 150,, λ = 150 η = 200,, λ = 150 η = 250,, λ = 200 η = 100,, λ = 200 η = 150,, λ = 200 η = 200,, λ = 200 η = 250,, λ = 250 η = 100,, λ = 250 η = 150,, λ = 250 η = 200,, λ = 250 η = 250,
Instances,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
at91sam7xek,66.6,13.62,64.8,3.68,67.2,1.91,71.2,1.25,65.4,15.93,65.4,4.42,68.6,2.13,70.6,1.78,65.6,16.41,65.4,5.91,68.4,3.25,70.8,2.45,65.4,14.59,65.6,4.31,66,3.13,70.2,2.71
atlas_mips32_4kc,65,10.2,63.8,4.55,68,1.35,69.2,0.95,65,9.13,64.8,4.11,66,2.19,69,1.58,65.4,12.73,65.2,6.27,68.4,2.78,70.2,2.08,64.8,11.37,65.4,4.53,65.6,2.93,68.6,2.36
atlas_mips64_5kc,64.6,12.42,64.6,3.73,68,1.31,70.4,1.13,65.8,11.38,65.6,5.15,66.8,1.79,69.4,1.36,66,10.45,64.6,6.39,67,2.35,68.6,1.79,65.2,13.54,64.4,5.03,66.6,2.83,68.6,2.34
brutus,60,10.3,60,3.9,62.6,1.19,67,1.02,61,10.43,61,3.67,63,1.76,66,1.4,60.6,12.3,60.4,4.68,62.6,2.34,64.8,2.05,61,11.73,59.6,5.15,63.2,2.28,65,2.22
buildroot,20.2,1.02,20,0.75,21.8,0.45,22.8,0.41,19.8,1.24,19.6,0.97,21.4,0.65,22.8,0.6,20,1.4,20.8,1.14,21.2,0.93,23,0.85,19.4,1.5,20.2,1.44,21.2,0.88,22.8,0.69
busybox_1_28_0,34.8,10.89,34.8,4.5,37.4,1.55,41,1.21,35.4,9.94,35.8,3.58,36.8,1.96,40.8,1.77,35,11.05,34.8,5.46,36.8,3,41.2,2.49,35.4,12.15,34.8,5.19,37.6,2.98,41.4,2.8
calm16_ceb,61.2,10.97,60.6,4.04,62.4,1.53,66.4,1,59.8,9.95,60,3.31,63,1.78,64.2,1.41,61,11.77,60.8,5.93,62.8,1.91,65,1.65,60.6,9.37,61.2,5.14,63.4,2.12,65.4,1.98
calm32_ceb,60.8,9.29,60.4,2.7,62.8,1.74,64.8,1.04,61.2,8.72,60,4.19,62.8,2.37,64.6,1.36,61.8,9.49,60.4,5.23,63.2,2.34,65.6,1.65,61.4,9.73,61.6,4.74,62.8,2.53,65.8,1.98
ceb_v850,60,10.18,60.2,2.74,62.6,1.85,64,1.05,60.2,8.66,59.8,3.01,62.8,1.78,64.4,1.43,61.2,10.85,59.4,4.91,62.8,2.53,64.2,1.97,60.8,12.01,60,4.54,62.6,2.42,64.2,2.2
cerf,65.2,13.76,66.2,4.19,67.4,1.63,71.6,1.2,66.4,15.67,65.6,4.4,68.4,1.93,70.6,1.66,65.6,13.51,66.4,6.3,67.4,2.78,69.6,2.03,66,15.37,66.4,4.79,66.4,3.18,70.8,2.27
cerfpda,65.8,13.64,66.4,4.81,69,1.75,70.8,1.06,65.4,14.72,65.4,3.4,68.8,2.24,70.8,1.74,66.2,14.21,66.4,5.39,68.6,2.89,71.8,2.26,67,13.7,65.6,5.91,69.2,2.88,70.8,2.69
cma230,61,8.8,60.4,3.8,63.2,1.21,65.4,1.03,60.6,12.63,59.6,4.83,62.8,1.49,64.6,1.43,59.8,9.57,60.2,4.67,62.4,2.27,65,2.01,61.2,10.94,61.2,3.39,63,2.6,64.2,1.97
cma28x,61.4,10.11,59.6,2.81,61.6,1.45,65.4,1.06,60.6,11.98,59.8,4.01,63,1.79,65,1.41,60.6,9.09,60.6,5.02,63,2.56,65,1.95,58.8,11.54,61,4.62,61.4,2.59,64.6,2.18
cme555,60.8,9.8,60.2,3.57,62.8,1.83,65,0.98,60.6,12.83,61.6,6.3,62.2,2.11,65.2,1.64,59.8,12.8,61,5.82,62.2,2.25,66.4,1.92,61,12.44,60.6,6.13,61.8,3.02,65.8,2.23
